ID	user	tweet	datetime	cleantweet	hashtags	likes	QT	reply	RT	compound	sentiment_category
1850216186933617022	UrbanFoodieTV	'THIS IS GREAT STUFF From ‘Mammy’ To Madame President? Get Ready For White Men To Lose It—Again #BarackObama #Presidentialelection https://t.co/Mt0eL8Nx5V @BishopJakes @BishopPMorton @pastordmack'	2024-10-26 16:41:28	great stuff mammy madame president get ready white men lose itagain barack obama presidentialelection bishopjakes bishoppmorton pastordmack	#BarackObama #Presidentialelection	0	0	0	0	0.5994	positive
1850216203052298724	Ricky779399901	'Beyoncé's Mom, Tina Knowles, Trolls Trump With Mic-Drop Moment At Harris Rally #DonaldTrump #Beyoncé #KamalaHarris #Presidentialelection https://t.co/WzrASpahCu'	2024-10-26 16:41:32	beyoncs mom tina knowles trolls trump micdrop moment harris rally donald beyonc kamala presidentialelection	#DonaldTrump #Beyoncé #KamalaHarris #Presidentialelection	1	0	0	0	0.0	neutral
1850216265077461110	OldBlackMan1	'THIS IS GREAT STUFF From ‘Mammy’ To Madame President? Get Ready For White Men To Lose It—Again #BarackObama #Presidentialelection https://t.co/avpVGVTLUI'	2024-10-26 16:41:47	great stuff mammy madame president get ready white men lose itagain barack obama presidentialelection	#BarackObama #Presidentialelection	0	0	0	0	0.5994	positive
1850216265828241677	cblazblaz	'#Donald says #TaiwanStoleOurChipBusiness'	2024-10-26 16:41:47	donald says taiwan stole chip business	#Donald #TaiwanStoleOurChipBusiness	0	0	0	0	0.0	neutral
1850216367925940702	MariaTammy	'Let’s put Trump in the garbage can with the losers, the liars, and the clowns 🤡 VOTE #Harris WalzObviously'	2024-10-26 16:42:12	lets put trump garbage losers liars clowns vote harris walzobviously	#Harris	1	0	0	0	-0.7783	negative
1850216473072972204	flawedinkcle	'#BRANDNEWEPISODE #NEWEPISODE #Preparedness #FEMA #MartialLaw #Trump #CivilWar #Harris #AlexJonesWasRight #podcastrecommendation #podcastrecommendations #Podnation #Podcasts #God #endtimes #eschatology #CLE #jesuschrist #FlawedcastCLE #RUMBLEPodcast https://t.co/jXfXLAPU3f'	2024-10-26 16:42:37	b r n e w p preparedness f martial law trump civil war harris alex jones right podcastrecommendation podcastrecommendations podnation podcasts god endtimes eschatology c l jesuschrist flawedcast u podcast	#BRANDNEWEPISODE #NEWEPISODE #Preparedness #FEMA #MartialLaw #Trump #CivilWar #Harris #AlexJonesWasRight #podcastrecommendation #podcastrecommendations #Podnation #Podcasts #God #endtimes #eschatology #CLE #jesuschrist #FlawedcastCLE #RUMBLEPodcast	0	0	0	0	-0.4215	negative
1850216590979014951	r_trowers5	'#KamalaHarris2024 #Kamala #KamalaHarris4POTUS2024 #KamalaCaresForUS #HarrisWalz #HarrisWalz2024 #Harris #Harris_Walz2024 #HarrisWalzObviously #VoteBlueDownBallot #VoteBlue “God bless you” to a Leftist is like a crucifix to a vampire. https://t.co/7CP1IWaC8N'	2024-10-26 16:43:05	kamala harris p u cares walz obviously vote blue ballot god bless leftist like crucifix vampire	#KamalaHarris2024 #Kamala #KamalaHarris4POTUS2024 #KamalaCaresForUS #HarrisWalz #HarrisWalz2024 #Harris #Harris_Walz2024 #HarrisWalzObviously #VoteBlueDownBallot #VoteBlue	0	0	0	0	0.8555	positive
1850216607307411474	dailymailin	'One hour into his Michigan rally on Friday, Donald Trump played a video apology from a private jet, explaining he was running at least two more hours late for his speech. #trump #presidentialelection #rally #election2024 #michigan #traversecity https://t.co/wxhjg7jsYZ'	2024-10-26 16:43:09	one hour michigan rally friday donald trump played video apology private jet explaining running least two hours late speech presidentialelection election traversecity	#trump #presidentialelection #rally #election2024 #michigan #traversecity	0	0	0	0	0.3818	positive
1850216672629604736	Channel8English	"'“Climate change is killing the earth and ruining our economy, we need a bold step forward to save our economy, our planet and ourselves."" #Harris #LeonardoDiCaprio #Taylorswift #Trump https://t.co/wOi476OOSk'"	2024-10-26 16:43:24	climate change killing earth ruining economy need bold step forward save planet harris leonardo di caprio taylorswift trump	#Harris #LeonardoDiCaprio #Taylorswift #Trump	0	0	0	0	-0.1531	negative
1850216764103389286	GeoffBent	'Furor over Washington Post’s decision to not endorse presidential candidate #WashingtonPost #JeffBezos #Harris #Trump #election https://t.co/BFIdCe6jGI'	2024-10-26 16:43:46	furor washington posts decision endorse presidential candidate post jeff bezos harris trump election	#WashingtonPost #JeffBezos #Harris #Trump #election	0	0	0	0	0.3182	positive
